Timestamp [HH;MM;SS], Xacc [m/s^2], Yacc [m/s^2], Zacc [m/s^2], Tvar [C], Engine load [%], Coolant temp [C], Intake pressure [kPa], Engine speed [RPM], Vehicle speed [km/h], Intake air temp [C], Distance with MIL [km], MAF [g/s], Fuel pressure [kPa]
12;41;45, 0.589, 0.628, 9.888, 11.000, 44.0, 38, 250, 783, 9, 21, 70, 6, 340
12;41;48, -0.039, 1.216, 9.496, 11.000, 57.0, 39, 250, 977, 16, 22, 70, 13, 343
12;41;50, 0.275, 0.589, 11.497, 11.000, 42.0, 39, 250, 1361, 22, 21, 70, 17, 304
12;41;52, -1.256, 1.020, 11.183, 11.000, 36.0, 39, 250, 1553, 25, 21, 70, 18, 284
12;41;55, 0.746, -0.471, 9.418, 10.000, 0.0, 39, 250, 1463, 24, 21, 70, 14, 221
12;41;57, 0.235, 0.314, 9.810, 12.000, 0.0, 40, 250, 1182, 20, 21, 70, 12, 217
12;41;59, 0.863, -1.530, 10.556, 11.000, 24.0, 40, 250, 850, 14, 21, 70, 8, 222
12;42;02, 0.432, -0.589, 10.673, 10.000, 24.0, 40, 250, 849, 4, 21, 70, 8, 225
12;42;04, 0.196, 0.118, 10.045, 11.000, 24.0, 40, 250, 850, 1, 21, 70, 8, 221
12;42;06, 0.903, 1.334, 10.359, 11.000, 43.0, 40, 250, 1145, 2, 21, 70, 9, 246
12;42;09, -0.078, 1.177, 10.202, 11.000, 17.0, 41, 250, 1686, 13, 21, 70, 10, 225
12;42;11, 0.510, 0.275, 10.281, 11.000, 23.0, 41, 250, 852, 15, 21, 70, 9, 236
12;42;13, -0.039, 1.530, 9.810, 10.000, 73.0, 41, 250, 1145, 18, 21, 70, 17, 557
12;42;16, 0.235, 0.432, 10.595, 10.000, 19.0, 41, 250, 984, 26, 21, 70, 9, 223
12;42;18, 0.275, 0.432, 9.575, 10.000, 25.0, 42, 250, 989, 25, 21, 70, 11, 257
12;42;20, 0.785, 1.020, 10.752, 12.000, 65.0, 42, 250, 1106, 28, 21, 70, 14, 512
12;42;23, 0.157, 1.059, 9.928, 11.000, 54.0, 42, 250, 1381, 34, 21, 70, 16, 229
12;42;25, 1.295, -0.824, 10.085, 10.000, 0.0, 42, 250, 1281, 33, 21, 70, 13, 223
12;42;27, 0.628, -0.118, 10.006, 11.000, 24.0, 42, 250, 852, 29, 21, 70, 9, 230
12;42;30, 0.118, 0.157, 9.849, 11.000, 23.0, 43, 250, 923, 27, 21, 70, 9, 229
12;42;32, 0.392, 0.157, 10.281, 10.000, 23.0, 43, 250, 905, 20, 21, 70, 9, 231
12;42;34, 0.863, -0.432, 9.535, 10.000, 23.0, 43, 250, 842, 12, 21, 70, 9, 225
12;42;37, 0.471, -0.275, 9.418, 10.000, 23.0, 43, 250, 847, 4, 21, 70, 8, 222
12;42;39, 0.432, 0.549, 10.281, 9.000, 21.0, 44, 250, 752, 0, 21, 70, 6, 220
12;42;41, 0.314, 0.706, 9.496, 10.000, 20.0, 44, 250, 748, 0, 21, 70, 7, 218
12;42;44, 0.628, 0.667, 9.732, 10.000, 21.0, 44, 250, 749, 0, 21, 70, 7, 219
12;42;46, 0.628, 0.549, 9.967, 10.000, 20.0, 44, 250, 747, 0, 21, 70, 6, 218
12;42;48, 0.628, 0.628, 10.006, 11.000, 20.0, 44, 250, 749, 0, 21, 70, 6, 220
12;42;51, 1.334, 1.334, 9.535, 11.000, 40.0, 44, 250, 1473, 0, 21, 70, 11, 231
12;42;53, 0.667, 1.452, 9.888, 10.000, 47.0, 45, 250, 1682, 2, 21, 70, 18, 432
12;42;55, 0.432, 2.197, 9.104, 10.000, 66.0, 45, 250, 2054, 16, 21, 70, 24, 235
12;42;58, 0.392, 0.942, 10.399, 10.000, 69.0, 45, 250, 1425, 17, 21, 70, 15, 635
12;43;00, 1.687, 1.138, 11.144, 10.000, 78.0, 45, 250, 1690, 27, 21, 70, 27, 822
12;43;02, -0.314, 0.314, 9.849, 9.000, 0.0, 45, 250, 1972, 38, 21, 70, 12, 227
12;43;05, 1.452, 1.256, 9.849, 10.000, 76.0, 46, 250, 1454, 37, 21, 70, 19, 293
12;43;07, 0.471, -0.196, 12.007, 8.000, 13.0, 46, 250, 1413, 36, 21, 70, 15, 320
12;43;09, 0.785, 1.844, 9.300, 9.000, 81.0, 46, 250, 1504, 38, 21, 70, 21, 755
12;43;12, -0.118, 0.981, 10.673, 9.000, 84.0, 47, 250, 1763, 44, 20, 70, 27, 756
12;43;14, 0.392, 1.452, 8.319, 10.000, 41.0, 47, 250, 1941, 49, 20, 71, 29, 674
12;43;16, 2.001, 1.138, 10.399, 10.000, 16.0, 47, 250, 2090, 54, 20, 71, 18, 225
12;43;19, -2.080, 0.510, 9.261, 10.000, 74.0, 48, 250, 1436, 50, 20, 71, 19, 747
12;43;21, 0.785, -0.392, 15.029, 9.000, 81.0, 48, 250, 1562, 54, 20, 71, 23, 803
12;43;23, 2.708, 1.373, 11.694, 9.000, 82.0, 49, 250, 1668, 58, 20, 71, 24, 842
12;43;26, 1.805, 2.904, 5.651, 9.000, 85.0, 50, 250, 1773, 62, 20, 71, 28, 888
12;43;28, 0.746, 1.844, 10.477, 8.000, 89.0, 50, 250, 1882, 65, 20, 71, 31, 912
12;43;30, 2.590, 0.824, 11.811, 9.000, 85.0, 51, 250, 1973, 69, 20, 71, 34, 918
12;43;33, 0.039, 1.295, 10.438, 8.000, 90.0, 51, 250, 2050, 72, 20, 71, 37, 945
12;43;35, 1.530, 1.059, 10.163, 9.000, 97.0, 52, 250, 2141, 75, 20, 71, 41, 951
12;43;38, 1.452, 0.785, 10.006, 8.000, 96.0, 53, 250, 2257, 78, 20, 71, 26, 221
12;43;40, 0.628, 0.275, 10.438, 9.000, 26.0, 53, 250, 1770, 74, 20, 71, 20, 544
12;43;42, 0.667, 0.000, 12.047, 10.000, 59.0, 54, 250, 1646, 72, 20, 71, 21, 590
12;43;45, 0.628, 0.942, 11.694, 8.000, 58.0, 55, 250, 1637, 72, 20, 71, 22, 594
12;43;47, 0.314, 0.353, 10.085, 8.000, 58.0, 56, 250, 1643, 72, 20, 71, 21, 795
12;43;50, 0.039, 0.981, 9.457, 9.000, 75.0, 57, 250, 1672, 73, 20, 71, 23, 786
12;43;52, 0.039, 0.039, 10.595, 9.000, 73.0, 58, 250, 1729, 76, 20, 71, 24, 785
12;43;55, 0.000, 0.196, 9.025, 9.000, 1.0, 58, 250, 1717, 78, 20, 71, 19, 236
12;43;57, 0.353, 0.314, 7.181, 8.000, 0.0, 59, 250, 1676, 74, 20, 71, 17, 232
12;44;00, 0.863, -0.196, 9.418, 9.000, 16.0, 60, 250, 1593, 70, 20, 71, 18, 341
12;44;02, 0.667, 0.824, 9.732, 8.000, 60.0, 60, 250, 1576, 69, 20, 71, 20, 624
12;44;04, 0.785, -0.157, 10.124, 10.000, 0.0, 61, 250, 1568, 71, 20, 71, 17, 241
12;44;07, 0.746, -0.118, 10.045, 8.000, 0.0, 61, 250, 1547, 68, 20, 72, 17, 368
12;44;09, 0.746, 0.118, 11.380, 9.000, 39.0, 62, 250, 1535, 67, 20, 72, 19, 488
12;44;12, 0.078, -0.471, 8.907, 9.000, 0.0, 62, 250, 1532, 68, 20, 72, 16, 245
