Timestamp [HH;MM;SS], Xacc [m/s^2], Yacc [m/s^2], Zacc [m/s^2], Tvar [C], Engine load [%], Coolant temp [C], Intake pressure [kPa], Engine speed [RPM], Vehicle speed [km/h], Intake air temp [C], Distance with MIL [km], MAF [g/s], Fuel pressure [kPa]
06;41;34, 0.039, 1.216, 10.673, 21.000, 38.0, 14, 250, 852, NA, 14, 59, 9, 233
06;41;37, 1.570, 1.138, 10.163, 21.000, 32.0, 14, 250, 864, 3, 14, 59, 8, 232
06;41;39, 1.177, 1.570, 9.771, 21.000, 38.0, 14, 250, 845, 0, 14, 59, 7, 231
06;41;41, 0.039, 2.551, 9.378, 22.000, 67.0, 14, 250, 1029, 2, 14, 59, 9, 398
06;41;43, -0.667, 0.510, 10.909, 22.000, 54.0, 14, 250, 1357, 11, 14, 59, 18, 338
06;41;46, -0.549, 0.785, 9.614, 22.000, 37.0, 15, 250, 1679, 14, 14, 59, 21, 322
06;41;48, 0.392, -0.235, 9.614, 22.000, 23.0, 15, 250, 1803, 16, 14, 59, 18, 233
06;41;50, -1.216, -0.196, 10.595, 21.000, 29.0, 15, 250, 871, 13, 14, 59, 9, 230
06;41;53, 0.275, 0.314, 9.261, 21.000, 29.0, 15, 250, 863, 11, 14, 59, 9, 232
06;41;55, 0.157, 0.942, 9.025, 22.000, 46.0, 16, 250, 1423, 12, 14, 59, 18, 306
06;41;57, 0.903, 0.157, 9.928, 20.000, 29.0, 16, 250, 841, 13, 14, 59, 9, 229
06;41;59, 0.628, -1.805, 13.616, 21.000, 29.0, 16, 250, 843, 8, 14, 59, 9, 227
06;42;02, 0.589, 1.216, 9.928, 20.000, 47.0, 17, 250, 803, 6, 14, 59, 10, 249
06;42;04, 1.491, 0.981, 10.202, 20.000, 47.0, 17, 250, 1460, 11, 14, 59, 20, 322
06;42;06, 0.903, 0.785, 9.928, 21.000, 28.0, 17, 250, 846, 14, 14, 59, 9, 230
06;42;09, 0.471, 2.315, 9.888, 20.000, 69.0, 18, 250, 1004, 16, 14, 59, 13, 369
