Timestamp [HH;MM;SS], X acc [m/s^2], Y acc [m/s^2], Z acc [m/s^2], T [C], Engine load [%], Coolant temp [C], Intake pressure [kPa], Engine speed [RPM], Vehicle speed [km/h], Intake air temp [C], Distance with MIL [km], MAF [g/s], Fuel pressure [kPa]
06;37;49, -1.138, 0.981, 9.849, 8.000, 0.11, 35, 250, 1656, 45, 19, 0, 10, 228
06;37;52, -0.118, 0.039, 11.497, 8.000, 0.74, 35, 250, 1303, 45, 19, 0, 16, 410
06;37;54, -0.981, -0.078, 10.556, 8.000, 0.37, 36, 250, 1352, 47, 19, 0, 15, 280
06;37;56, -0.275, 0.235, 11.890, 6.000, 0.15, 36, 250, 1338, 48, 19, 0, 15, 218
06;37;59, 0.824, -0.706, 10.281, 7.000, 0.00, 37, 250, 1234, 44, 19, 0, 12, 218
06;38;01, 0.235, -3.767, 11.850, 8.000, 0.25, 37, 250, 850, 24, 19, 0, 8, 228
06;38;04, -0.039, -1.648, 10.634, 6.000, 0.25, 37, 250, 851, 5, 19, 0, 8, 227
06;38;06, -0.471, -0.432, 9.378, 6.000, 0.23, 38, 250, 762, 0, 19, 0, 7, 217
06;38;08, -0.863, -0.353, 10.634, 5.000, 0.22, 38, 250, 753, 0, 19, 0, 7, 218
06;38;11, -2.119, 1.059, 10.045, 6.000, 0.76, 39, 250, 798, 4, 19, 0, 12, 440
06;38;13, -1.295, -0.314, 9.261, 7.000, 0.19, 39, 250, 929, 16, 19, 0, 12, 285
06;38;15, -1.570, 0.628, 8.633, 7.000, 0.73, 39, 250, 1485, 23, 19, 0, 23, 463
06;38;17, -0.432, -0.078, 10.202, 6.000, 0.22, 39, 250, 849, 30, 19, 0, 13, 243
06;38;20, -0.589, 0.078, 10.909, 5.000, 0.68, 40, 250, 1291, 32, 19, 0, 16, 348
06;38;22, -0.314, -0.275, 10.438, 6.000, 0.25, 40, 250, 1445, 37, 19, 0, 15, 226
06;38;24, -0.863, -0.314, 8.554, 6.000, 0.00, 40, 250, 1335, 34, 18, 0, 15, 234
