Timestamp [HH;MM;SS], X acc [m/s^2], Y acc [m/s^2], Z acc [m/s^2], T [C], Engine load [%], Coolant temp [C], Intake pressure [kPa], Engine speed [RPM], Vehicle speed [km/h], Intake air temp [C], Distance with MIL [km], MAF [g/s], Fuel pressure [kPa]
06;44;52, 0.235, 0.314, 9.771, 4.000, 0.24, 72, 250, 877, 18, 19, 0, 8, 238
06;44;54, 0.078, 0.196, 9.653, 5.000, 0.25, 72, 250, 843, 16, 19, 0, 8, 235
06;44;56, 0.275, 0.157, 9.614, 5.000, 0.24, 72, 250, 850, 13, 19, 0, 8, 231
06;44;59, 1.256, -0.628, 8.437, 4.000, 0.25, 72, 250, 842, 9, 19, 0, 8, 235
06;45;01, 1.177, -0.432, 9.535, 5.000, 0.26, 72, 250, 848, 1, 19, 0, 7, 220
06;45;03, 0.196, 0.275, 9.771, 4.000, 0.25, 72, 250, 750, 0, 19, 0, 7, 219
06;45;06, 0.432, 0.353, 9.732, 5.000, 0.25, 72, 250, 749, 0, 19, 0, 6, 219
06;45;08, 0.392, 0.471, 10.124, 4.000, 0.24, 72, 250, 748, 0, 19, 0, 7, 219
06;45;10, 0.275, 0.392, 9.888, 5.000, 0.25, 72, 250, 752, 0, 19, 0, 7, 219
06;45;13, 0.235, 0.392, 9.614, 6.000, 0.25, 72, 250, 747, 0, 19, 0, 6, 221
06;45;15, 0.157, 0.353, 10.281, 5.000, 0.25, 72, 250, 748, 0, 19, 0, 7, 219
06;45;18, 0.078, 0.432, 10.516, 5.000, 0.24, 72, 250, 750, 0, 20, 0, 7, 220
06;45;20, 0.314, 0.353, 10.516, 5.000, 0.25, 72, 250, 748, 0, 20, 0, 7, 219
06;45;23, -0.942, 1.059, 9.849, 5.000, 0.43, 72, 250, 1653, 0, 20, 0, 16, 485
06;45;25, -1.648, 1.570, 9.575, 5.000, 0.59, 72, 250, 1711, 14, 20, 0, 23, 263
06;45;28, 0.157, 0.824, 8.554, 5.000, 0.44, 72, 250, 1118, 17, 20, 0, 13, 525
06;45;30, -0.628, 1.570, 7.613, 5.000, 0.74, 72, 250, 1582, 25, 20, 0, 24, 815
06;45;32, 0.589, 0.353, 10.320, 5.000, 0.24, 72, 250, 859, 30, 20, 0, 13, 380
06;45;35, 0.196, -0.157, 10.085, 6.000, 0.73, 73, 250, 1234, 31, 19, 0, 15, 468
06;45;37, 0.039, 1.687, 11.340, 6.000, 0.39, 73, 250, 1297, 33, 19, 0, 15, 520
06;45;40, -0.314, 1.216, 10.948, 5.000, 0.64, 73, 250, 1408, 35, 19, 0, 16, 262
06;45;42, -0.824, 0.863, 10.869, 6.000, 0.53, 73, 250, 1392, 35, 19, 0, 17, 540
06;45;44, -0.118, -0.275, 9.221, 4.000, 0.00, 73, 250, 1347, 35, 19, 0, 14, 241
06;45;47, 1.727, -0.275, 9.418, 6.000, 0.00, 74, 250, 1008, 26, 19, 0, 8, 240
06;45;49, 0.510, 0.275, 10.242, 5.000, 0.24, 74, 250, 852, 19, 19, 0, 8, 232
06;45;52, 0.314, 0.078, 10.124, 4.000, 0.24, 74, 250, 853, 17, 19, 0, 8, 235
06;45;54, 0.078, 0.549, 10.869, 5.000, 0.24, 74, 250, 847, 13, 19, 0, 7, 233
06;45;56, 0.157, 0.432, 9.810, 5.000, 0.49, 74, 250, 836, 12, 20, 0, 8, 309
06;45;59, 1.334, -0.157, 10.438, 6.000, 0.24, 75, 250, 847, 13, 20, 0, 7, 239
06;46;01, 0.942, 0.353, 10.556, 4.000, 0.24, 75, 250, 838, 9, 20, 0, 11, 359
06;46;03, -1.962, 1.452, 9.064, 6.000, 0.70, 75, 250, 1912, 15, 20, 0, 27, 250
06;46;06, 0.000, 0.706, 8.672, 5.000, 0.55, 75, 250, 1277, 19, 20, 0, 16, 611
06;46;08, -0.981, 1.648, 8.476, 5.000, 0.73, 75, 250, 1742, 28, 20, 0, 27, 880
06;46;10, 0.118, 0.196, 8.005, 5.000, 0.43, 75, 250, 867, 32, 19, 0, 15, 476
06;46;13, -0.471, 0.275, 10.595, 5.000, 0.80, 75, 250, 1401, 35, 19, 0, 18, 525
06;46;15, 0.510, -1.099, 8.986, 5.000, 0.00, 75, 250, 1408, 36, 19, 0, 15, 242
06;46;17, -1.844, 0.981, 7.259, 4.000, 0.78, 75, 250, 1359, 34, 19, 0, 17, 647
06;46;20, -1.962, -1.334, 13.028, 6.000, 0.62, 76, 250, 1538, 39, 19, 0, 20, 656
06;46;22, 0.392, 0.824, 10.124, 7.000, 0.73, 76, 250, 1708, 42, 19, 0, 25, 878
06;46;24, -0.510, 1.099, 9.653, 6.000, 0.79, 76, 250, 1973, 49, 19, 0, 24, 239
06;46;26, 0.903, 0.863, 10.242, 4.000, 0.23, 76, 250, 1395, 50, 19, 0, 16, 453
06;46;29, 0.235, 0.863, 9.535, 5.000, 0.21, 77, 250, 1413, 50, 19, 0, 17, 495
06;46;31, 1.687, 0.667, 9.928, 5.000, 0.00, 77, 250, 1439, 52, 19, 0, 16, 291
06;46;33, -0.039, 1.687, 9.849, 4.000, 0.76, 77, 250, 1488, 52, 19, 0, 20, 798
06;46;36, 0.549, 0.863, 9.732, 5.000, 0.77, 78, 250, 1618, 56, 19, 0, 21, 815
06;46;38, -0.039, 0.863, 9.732, 5.000, 0.74, 78, 250, 1751, 61, 19, 0, 22, 319
06;46;40, -0.196, 0.510, 9.653, 5.000, 0.70, 78, 250, 1769, 62, 19, 0, 24, 875
06;46;43, 0.706, 0.314, 11.105, 5.000, 0.24, 78, 250, 869, 63, 19, 0, 15, 426
06;46;45, 0.824, 0.549, 9.928, 6.000, 0.65, 78, 250, 1445, 63, 19, 0, 18, 653
06;46;47, -0.392, 0.392, 10.006, 4.000, 0.58, 78, 250, 1479, 65, 19, 0, 17, 307
06;46;50, 0.353, -0.196, 9.025, 5.000, 0.36, 77, 250, 1484, 63, 19, 0, 16, 583
06;46;52, -0.157, -0.039, 10.124, 5.000, 0.81, 77, 250, 1467, 64, 19, 0, 18, 665
06;46;54, 0.235, -1.805, 10.830, 5.000, 0.58, 76, 250, 1498, 66, 19, 0, 18, 612
06;46;57, -1.177, 0.667, 9.614, 6.000, 0.77, 75, 250, 1495, 65, 20, 0, 20, 769
06;46;59, -1.295, -1.727, 9.496, 7.000, 0.62, 74, 250, 1455, 64, 19, 0, 18, 652
06;47;01, -1.295, 0.353, 9.810, 5.000, 0.84, 74, 250, 1429, 63, 20, 0, 18, 755
06;47;04, 0.432, 0.706, 11.733, 5.000, 0.85, 74, 250, 1445, 63, 20, 0, 20, 720
06;47;06, -2.040, -0.196, 11.654, 6.000, 0.60, 74, 250, 1489, 65, 20, 0, 18, 591
06;47;08, -0.235, -0.981, 9.182, 5.000, 0.00, 74, 250, 1485, 65, 20, 0, 16, 239
06;47;11, 0.314, 0.353, 6.004, 5.000, 0.00, 74, 250, 1444, 64, 20, 0, 15, 237
06;47;13, 0.942, -1.805, 9.300, 6.000, 0.00, 75, 250, 1265, 56, 20, 0, 13, 236
06;47;15, 0.118, -2.276, 10.556, 7.000, 0.13, 75, 250, 996, 46, 20, 0, 8, 243
06;47;17, 1.844, -1.766, 9.457, 9.000, 0.24, 75, 250, 845, 26, 20, 0, 8, 233
06;47;20, 0.824, -0.589, 10.477, 5.000, 0.24, 75, 250, 860, 10, 20, 0, 8, 233
06;47;22, 0.706, 0.000, 10.045, 5.000, 0.24, 75, 250, 853, 3, 20, 0, 8, 232
06;47;24, 0.275, 0.275, 10.320, 6.000, 0.22, 75, 250, 751, 0, 20, 0, 7, 218
06;47;27, 0.275, 0.392, 10.085, 4.000, 0.22, 75, 250, 750, 0, 20, 0, 7, 218
06;47;29, 0.078, 0.275, 9.849, 5.000, 0.22, 75, 250, 751, 0, 20, 0, 7, 218
06;47;31, 0.078, 0.903, 9.104, 5.000, 0.22, 75, 250, 752, 0, 20, 0, 6, 219
06;47;34, -0.118, 0.471, 9.810, 4.000, 0.22, 75, 250, 1009, 1, 20, 0, 7, 248
06;47;36, 0.392, 0.275, 9.810, 5.000, 0.24, 74, 250, 849, 2, 20, 0, 7, 231
06;47;38, -0.510, 1.334, 8.437, 6.000, 0.60, 74, 250, 816, 4, 20, 0, 9, 315
06;47;41, -0.549, 1.844, 10.045, 5.000, 0.46, 74, 250, 1626, 13, 20, 0, 23, 281
06;47;43, -0.039, 0.118, 9.692, 6.000, 0.31, 73, 250, 1090, 17, 21, 0, 12, 405
06;47;45, 0.314, 1.452, 10.438, 5.000, 0.63, 73, 250, 1431, 22, 21, 0, 19, 729
06;47;48, 0.549, -0.549, 10.869, 6.000, 0.01, 73, 250, 1748, 29, 21, 0, 19, 332
06;47;50, -2.668, -2.001, 11.026, 5.000, 0.31, 73, 250, 1701, 28, 21, 0, 21, 626
06;47;52, -2.276, -0.471, 9.732, 4.000, 0.62, 72, 250, 2036, 33, 21, 0, 33, 917
06;47;55, -0.118, -0.157, 9.496, 5.000, 0.04, 73, 250, 1245, 38, 21, 0, 9, 242
06;47;57, -0.549, 0.471, 9.064, 7.000, 0.00, 73, 250, 1289, 33, 21, 0, 13, 240
06;47;59, -0.824, 0.628, 9.928, 6.000, 0.67, 73, 250, 1186, 30, 21, 0, 13, 398
06;48;02, 1.020, 1.373, 11.301, 7.000, 0.55, 73, 250, 1146, 29, 21, 0, 12, 395
06;48;04, -0.863, 0.235, 9.732, 6.000, 0.25, 73, 250, 1091, 28, 21, 0, 11, 327
06;48;06, -3.021, -2.394, 8.907, 5.000, 0.82, 74, 250, 1170, 29, 21, 0, 15, 675
06;48;09, -0.157, 0.628, 7.966, 6.000, 0.77, 74, 250, 1459, 36, 21, 0, 20, 767
06;48;11, 0.275, 0.903, 8.240, 5.000, 0.62, 74, 250, 1748, 44, 21, 0, 24, 653
06;48;13, 0.196, 0.235, 9.339, 4.000, 0.35, 74, 250, 1897, 48, 21, 0, 24, 615
06;48;16, 0.510, 1.099, 11.223, 5.000, 0.53, 75, 250, 2012, 51, 21, 0, 29, 432
06;48;18, -0.157, 0.471, 9.064, 5.000, 0.22, 75, 250, 1492, 52, 21, 0, 16, 474
06;48;20, 0.785, 1.452, 10.045, 4.000, 0.54, 75, 250, 1517, 53, 21, 0, 18, 611
06;48;23, 0.078, 1.373, 10.909, 6.000, 0.56, 75, 250, 1605, 56, 21, 0, 19, 734
06;48;25, -0.235, 1.059, 10.438, 7.000, 0.73, 75, 250, 1703, 59, 21, 0, 24, 827
06;48;27, 0.785, 0.549, 8.123, 5.000, 0.72, 75, 250, 1808, 63, 21, 0, 26, 847
06;48;30, 0.628, 0.392, 10.634, 5.000, 0.00, 75, 250, 1428, 66, 21, 0, 9, 247
06;48;32, 0.510, 0.824, 9.810, 5.000, 0.59, 75, 250, 1469, 64, 21, 0, 18, 639
06;48;34, -1.413, 1.138, 9.614, 6.000, 0.64, 75, 250, 1491, 66, 21, 0, 18, 675
06;48;37, -0.039, 1.491, 11.144, 5.000, 0.64, 75, 250, 1531, 67, 21, 0, 19, 682
06;48;39, -1.491, 0.785, 12.400, 5.000, 0.65, 75, 250, 1522, 67, 21, 0, 19, 687
06;48;41, 2.001, 1.805, 10.752, 6.000, 0.65, 75, 250, 1488, 66, 20, 0, 19, 683
06;48;44, -1.844, 0.824, 9.967, 6.000, 0.65, 75, 250, 1487, 65, 21, 0, 18, 633
06;48;46, 1.452, 1.138, 10.830, 5.000, 0.16, 75, 250, 1490, 66, 21, 0, 17, 246
06;48;48, 1.177, 0.275, 8.751, 6.000, 0.00, 75, 250, 1436, 63, 21, 0, 15, 241
06;48;51, 0.589, -0.235, 9.221, 5.000, 0.00, 75, 250, 1404, 62, 21, 0, 14, 237
06;48;53, 0.746, 0.589, 10.634, 5.000, 0.00, 75, 250, 1383, 61, 21, 0, 14, 238
06;48;55, -0.039, -0.196, 10.124, 4.000, 0.00, 75, 250, 1345, 59, 21, 0, 15, 239
06;48;58, -0.118, 0.471, 9.732, 6.000, 0.00, 75, 250, 1310, 57, 21, 0, 14, 239
06;49;00, -0.549, -1.452, 9.104, 7.000, 0.00, 75, 250, 1215, 54, 21, 0, 12, 236
06;49;02, 0.353, -1.609, 9.496, 5.000, 0.25, 75, 250, 855, 44, 21, 0, 8, 235
06;49;04, 2.276, -0.589, 9.653, 5.000, 0.24, 74, 250, 851, 28, 21, 0, 7, 233
06;49;07, 2.040, 0.157, 9.575, 5.000, 0.24, 74, 250, 852, 13, 21, 0, 8, 232
06;49;09, 1.334, 0.157, 9.339, 5.000, 0.24, 74, 250, 851, 7, 21, 0, 8, 233
06;49;12, 1.373, 0.314, 9.810, 5.000, 0.24, 74, 250, 850, 2, 21, 0, 8, 233
06;49;14, 0.706, 0.589, 9.692, 6.000, 0.22, 74, 250, 750, 0, 21, 0, 7, 219
06;49;17, 0.863, 0.903, 9.300, 5.000, 0.22, 73, 250, 750, 0, 21, 0, 7, 218
06;49;19, 0.942, 0.903, 9.221, 6.000, 0.22, 73, 250, 750, 0, 21, 0, 7, 220
06;49;21, 0.903, 0.785, 9.418, 4.000, 0.23, 73, 250, 752, 0, 21, 0, 7, 220
06;49;24, 0.903, 0.706, 10.242, 5.000, 0.22, 73, 250, 749, 0, 22, 0, 6, 221
06;49;26, 1.256, 0.981, 10.163, 5.000, 0.23, 73, 250, 752, 0, 22, 0, 7, 220
06;49;29, 0.863, 0.706, 10.438, 6.000, 0.23, 73, 250, 750, 0, 22, 0, 6, 219
06;49;31, 1.216, 1.020, 10.124, 5.000, 0.22, 73, 250, 751, 0, 22, 0, 6, 220
06;49;33, 0.785, 0.785, 10.516, 6.000, 0.23, 73, 250, 750, 0, 22, 0, 6, 218
06;49;36, 1.138, 0.824, 9.732, 6.000, 0.02, 73, 250, 1335, 0, 22, 0, 19, 245
06;49;38, 1.138, 0.628, 9.653, 6.000, 0.26, 73, 250, 848, 2, 22, 0, 8, 234
06;49;41, 1.099, 0.746, 9.692, 5.000, 0.24, 73, 250, 851, 0, 22, 0, 8, 221
06;49;43, 0.824, 0.824, 10.477, 6.000, 0.40, 73, 250, 1149, 0, 22, 0, 24, 397
06;49;46, 0.589, 2.040, 9.771, 5.000, 0.51, 73, 250, 1134, 9, 22, 0, 17, 499
06;49;48, 1.413, 1.177, 9.535, 6.000, 0.00, 73, 250, 1615, 20, 22, 0, 10, 246
06;49;50, 1.687, 1.570, 11.890, 5.000, 0.62, 73, 250, 1348, 21, 23, 0, 19, 743
06;49;53, -0.039, 1.609, 10.516, 5.000, 0.56, 73, 250, 1993, 32, 22, 0, 20, 244
06;49;55, 0.078, 0.589, 10.477, 5.000, 0.29, 73, 250, 1376, 34, 22, 0, 16, 589
06;49;57, 0.039, 0.746, 8.986, 6.000, 0.68, 73, 250, 1611, 40, 22, 0, 22, 773
06;50;00, 0.353, -0.275, 10.359, 5.000, 0.07, 74, 250, 1168, 46, 22, 0, 9, 241
06;50;02, 0.000, 1.059, 10.673, 6.000, 0.45, 74, 250, 1306, 45, 22, 0, 14, 469
06;50;04, 0.903, -0.353, 11.772, 6.000, 0.00, 74, 250, 1314, 46, 22, 0, 13, 254
06;50;06, 0.000, 0.235, 11.105, 4.000, 0.78, 74, 250, 1321, 46, 22, 0, 16, 677
06;50;09, 0.863, 0.510, 9.967, 5.000, 0.02, 75, 250, 1402, 49, 22, 0, 15, 239
06;50;11, -0.078, 0.549, 9.104, 5.000, 0.49, 75, 250, 1381, 48, 22, 0, 16, 497
06;50;14, 1.216, 0.628, 9.849, 5.000, 0.00, 75, 250, 1386, 49, 22, 0, 16, 387
06;50;16, 0.235, 0.667, 9.732, 7.000, 0.00, 75, 250, 1372, 48, 22, 0, 15, 238
06;50;18, 0.471, 0.196, 8.672, 7.000, 0.33, 75, 250, 1343, 46, 22, 0, 15, 545
06;50;20, 0.039, 1.020, 11.026, 7.000, 0.63, 75, 250, 1386, 48, 22, 0, 17, 597
06;50;23, 0.039, 1.256, 9.025, 6.000, 0.13, 75, 250, 1430, 51, 22, 0, 15, 240
06;50;25, 0.746, 0.196, 11.968, 5.000, 0.00, 75, 250, 1386, 49, 22, 0, 15, 256
06;50;27, 1.216, 0.471, 9.732, 7.000, 0.00, 74, 250, 1313, 46, 22, 0, 14, 240
06;50;30, 1.177, -0.510, 10.202, 5.000, 0.26, 74, 250, 853, 37, 22, 0, 8, 233
06;50;32, 1.295, -1.413, 10.556, 4.000, 0.24, 74, 250, 847, 24, 22, 0, 7, 231
06;50;34, 0.235, -0.706, 9.614, 5.000, 0.24, 74, 250, 851, 9, 22, 0, 8, 233
06;50;37, 0.510, 0.275, 9.339, 6.000, 0.24, 74, 250, 849, 2, 22, 0, 7, 233
06;50;39, 0.275, 0.392, 10.477, 5.000, 0.23, 74, 250, 750, 0, 22, 0, 7, 219
06;50;41, 0.235, 0.628, 9.496, 4.000, 0.23, 74, 250, 751, 0, 23, 0, 7, 220
06;50;44, 0.706, 0.746, 9.928, 7.000, 0.22, 74, 250, 752, 0, 23, 0, 6, 219
06;50;46, 0.314, 0.549, 10.045, 6.000, 0.23, 74, 250, 749, 0, 23, 0, 7, 219
06;50;48, 0.275, 0.746, 9.025, 5.000, 0.23, 74, 250, 750, 0, 23, 0, 6, 219
06;50;51, 0.314, 0.510, 9.771, 6.000, 0.23, 74, 250, 752, 0, 23, 0, 7, 217
06;50;53, 0.196, 0.510, 10.124, 6.000, 0.22, 74, 250, 749, 0, 23, 0, 7, 219
06;50;55, 0.392, 0.706, 9.300, 6.000, 0.23, 74, 250, 750, 0, 23, 0, 6, 219
06;50;58, 0.196, 0.589, 10.085, 7.000, 0.23, 74, 250, 750, 0, 23, 0, 6, 220
06;51;00, 0.353, 0.589, 10.085, 7.000, 0.22, 74, 250, 747, 0, 23, 0, 6, 219
06;51;02, 0.000, 0.589, 9.143, 6.000, 0.23, 74, 250, 748, 0, 23, 0, 6, 219
06;51;05, 0.039, 0.432, 9.418, 7.000, 0.23, 74, 250, 749, 0, 23, 0, 7, 219
06;51;07, 0.235, 0.471, 10.006, 5.000, 0.23, 74, 250, 749, 0, 23, 0, 6, 219
06;51;09, 0.235, 0.353, 10.477, 5.000, 0.22, 74, 250, 751, 0, 24, 0, 7, 219
06;51;12, 0.432, 0.510, 10.320, 6.000, 0.22, 74, 250, 747, 0, 24, 0, 6, 219
06;51;14, 0.196, 0.589, 9.104, 6.000, 0.23, 74, 250, 749, 0, 24, 0, 6, 218
06;51;16, 0.549, 0.628, 9.967, 5.000, 0.22, 74, 250, 749, 0, 24, 0, 7, 219
06;51;19, 0.353, 0.589, 10.242, 6.000, 0.22, 74, 250, 749, 0, 24, 0, 6, 220
06;51;21, 0.196, 0.628, 10.163, 5.000, 0.24, 74, 250, 756, 0, 24, 0, 7, 219
06;51;23, 0.000, 0.353, 9.300, 6.000, 0.23, 74, 250, 748, 0, 24, 0, 7, 220
06;51;26, -0.510, 1.413, 9.457, 6.000, 0.22, 74, 250, 2088, 0, 24, 0, 12, 351
06;51;28, -0.746, 2.276, 8.554, 6.000, 0.56, 74, 250, 1367, 11, 24, 0, 22, 777
06;51;30, 0.746, 0.353, 10.281, 6.000, 0.49, 74, 250, 863, 17, 24, 0, 16, 498
06;51;33, -0.039, 2.472, 10.320, 6.000, 0.73, 74, 250, 1459, 23, 24, 0, 20, 764
06;51;35, 1.059, 2.668, 10.556, 6.000, 0.61, 74, 250, 1931, 31, 24, 0, 27, 582
06;51;37, 0.903, 0.118, 9.457, 6.000, 0.27, 74, 250, 1109, 33, 24, 0, 15, 545
06;51;39, -0.196, 1.452, 8.123, 6.000, 0.78, 74, 250, 1466, 36, 24, 0, 20, 767
06;51;42, -0.353, 1.727, 9.182, 6.000, 0.70, 74, 250, 1697, 42, 24, 0, 18, 253
06;51;44, 0.314, 1.256, 8.123, 4.000, 0.69, 74, 250, 1243, 43, 24, 0, 15, 594
06;51;46, -0.235, 0.785, 9.221, 7.000, 0.67, 74, 250, 1366, 47, 24, 0, 17, 623
06;51;49, 0.196, 0.078, 9.496, 7.000, 0.00, 75, 250, 1449, 51, 24, 0, 16, 240
06;51;51, -0.157, 0.942, 9.928, 6.000, 0.53, 75, 250, 1482, 52, 24, 0, 19, 585
06;51;53, 1.452, 0.314, 10.673, 6.000, 0.00, 75, 250, 1538, 54, 24, 0, 16, 241
06;51;56, 0.667, 0.196, 9.535, 6.000, 0.00, 75, 250, 1471, 52, 24, 0, 16, 315
06;51;58, 1.099, 1.648, 10.163, 6.000, 0.46, 75, 250, 1487, 52, 24, 0, 18, 524
06;52;00, 0.078, 0.432, 10.516, 5.000, 0.28, 75, 250, 1522, 52, 24, 0, 17, 537
06;52;03, 0.942, 0.903, 10.713, 7.000, 0.20, 75, 250, 1515, 54, 24, 0, 16, 238
06;52;05, 1.099, 0.746, 11.654, 6.000, 0.40, 75, 250, 1503, 52, 24, 0, 17, 551
06;52;07, 0.118, 0.235, 8.790, 7.000, 0.16, 75, 250, 1546, 54, 24, 0, 16, 246
06;52;10, 0.981, 0.471, 10.438, 5.000, 0.36, 75, 250, 1508, 53, 24, 0, 18, 575
06;52;12, 0.863, 0.549, 11.144, 5.000, 0.43, 75, 250, 1572, 55, 24, 0, 19, 511
06;52;14, 0.903, 0.510, 10.202, 6.000, 0.15, 75, 250, 1593, 56, 24, 0, 18, 244
06;52;17, -0.039, 1.020, 10.359, 6.000, 0.42, 74, 250, 1572, 55, 24, 0, 19, 564
06;52;19, 0.746, 0.392, 9.692, 7.000, 0.00, 74, 250, 1567, 55, 24, 0, 17, 243
06;52;21, 0.275, 0.392, 11.615, 6.000, 0.00, 74, 250, 1491, 52, 24, 0, 16, 239
06;52;24, 0.000, 0.314, 8.711, 6.000, 0.00, 74, 250, 1408, 49, 24, 0, 15, 239
06;52;26, 1.491, 0.235, 11.733, 7.000, 0.11, 74, 250, 1336, 47, 24, 0, 14, 262
06;52;28, 0.706, 1.413, 9.418, 5.000, 0.15, 74, 250, 1280, 45, 24, 0, 13, 245
06;52;31, -0.432, 0.824, 10.752, 6.000, 0.00, 74, 250, 1210, 42, 24, 0, 13, 240
06;52;33, 0.785, 0.314, 10.516, 7.000, 0.24, 74, 250, 865, 40, 24, 0, 8, 234
06;52;35, 0.235, -0.039, 11.026, 6.000, 0.00, 74, 250, 928, 39, 24, 0, 15, 232
06;52;38, 0.785, 0.157, 8.672, 6.000, 0.00, 74, 250, 1374, 35, 24, 0, 14, 241
06;52;40, 0.157, 0.235, 8.633, 7.000, 0.00, 74, 250, 1082, 27, 24, 0, 11, 236
06;52;42, 0.432, 0.196, 8.437, 7.000, 0.25, 74, 250, 848, 22, 24, 0, 8, 232
06;52;45, 0.314, 0.353, 9.221, 7.000, 0.24, 74, 250, 848, 18, 24, 0, 8, 230
06;52;47, 0.785, -0.706, 9.928, 6.000, 0.24, 74, 250, 851, 13, 24, 0, 8, 233
06;52;49, 0.471, 0.078, 9.496, 7.000, 0.23, 74, 250, 854, 2, 24, 0, 8, 234
06;52;52, 0.471, 0.235, 9.732, 7.000, 0.19, 74, 250, 851, 0, 24, 0, 6, 220
06;52;54, 0.118, 0.549, 9.143, 7.000, 0.22, 74, 250, 746, 0, 24, 0, 6, 221
06;52;56, 0.510, 0.510, 10.163, 6.000, 0.22, 74, 250, 747, 0, 24, 0, 6, 219
06;52;59, 0.392, 0.392, 10.006, 6.000, 0.22, 74, 250, 750, 0, 24, 0, 7, 219
06;53;01, 0.314, 0.706, 10.516, 6.000, 0.39, 74, 250, 1514, 0, 24, 0, 20, 571
06;53;03, -0.392, 1.570, 10.045, 7.000, 0.53, 74, 250, 1255, 9, 25, 0, 18, 633
06;53;06, 0.275, 1.138, 8.986, 6.000, 0.00, 74, 250, 1403, 19, 25, 0, 8, 247
06;53;08, -0.785, 1.805, 9.496, 4.000, 0.68, 74, 250, 1326, 21, 25, 0, 17, 693
06;53;11, -0.039, 2.237, 9.928, 8.000, 0.64, 74, 250, 1937, 30, 25, 0, 20, 249
06;53;13, 1.334, 0.863, 10.202, 7.000, 0.21, 74, 250, 858, 32, 25, 0, 13, 370
06;53;15, 0.667, 1.530, 10.869, 6.000, 0.55, 74, 250, 1316, 33, 25, 0, 15, 429
06;53;18, 1.099, -0.078, 10.359, 7.000, 0.11, 74, 250, 1360, 35, 25, 0, 15, 244
06;53;20, -1.020, -1.059, 11.929, 6.000, 0.34, 74, 250, 1290, 32, 25, 0, 14, 397
06;53;23, -2.197, 0.118, 7.495, 7.000, 0.29, 74, 250, 1224, 30, 25, 0, 13, 394
06;53;25, -1.256, -1.059, 9.575, 6.000, 0.71, 75, 250, 1283, 32, 25, 0, 16, 600
06;53;28, 1.884, 1.962, 10.163, 8.000, 0.56, 75, 250, 1448, 36, 24, 0, 18, 583
06;53;30, 0.903, 1.570, 8.515, 6.000, 0.75, 75, 250, 1625, 41, 24, 0, 23, 821
06;53;32, 0.275, 0.275, 11.458, 7.000, 0.00, 75, 250, 1347, 47, 24, 0, 14, 367
06;53;35, -0.471, 2.080, 9.418, 6.000, 0.82, 75, 250, 1364, 47, 24, 0, 18, 758
06;53;37, -1.609, 1.138, 10.830, 5.000, 0.77, 75, 250, 1504, 52, 24, 0, 20, 775
06;53;40, 0.078, 0.275, 10.673, 5.000, 0.56, 75, 250, 1613, 56, 24, 0, 21, 642
06;53;42, 0.157, 0.000, 9.104, 8.000, 0.01, 75, 250, 1659, 58, 24, 0, 18, 426
06;53;44, 0.000, 0.078, 9.732, 7.000, 0.64, 75, 250, 1683, 58, 24, 0, 22, 760
06;53;47, -0.589, 0.903, 10.163, 6.000, 0.62, 75, 250, 1779, 62, 24, 0, 24, 776
06;53;49, -0.824, 1.805, 11.301, 7.000, 0.64, 75, 250, 1843, 64, 24, 0, 26, 810
06;53;51, -0.353, 0.746, 11.066, 7.000, 0.59, 75, 250, 1868, 65, 24, 0, 26, 890
06;53;54, -0.667, 0.353, 9.928, 7.000, 0.80, 75, 250, 1884, 66, 24, 0, 28, 927
06;53;56, -0.157, 1.413, 8.790, 7.000, 0.80, 75, 250, 1940, 67, 24, 0, 30, 941
06;53;58, -1.530, 3.689, 9.810, 7.000, 0.68, 76, 250, 1997, 70, 24, 0, 30, 885
06;54;01, 0.353, 0.746, 9.928, 7.000, 0.41, 76, 250, 2001, 70, 24, 0, 29, 749
06;54;03, -0.039, -0.078, 9.261, 7.000, 0.00, 76, 250, 1992, 72, 24, 0, 22, 242
06;54;05, 0.824, -0.589, 8.751, 6.000, 0.00, 76, 250, 1962, 69, 23, 0, 21, 237
06;54;08, -0.235, -0.039, 8.240, 6.000, 0.00, 76, 250, 1905, 67, 24, 0, 20, 244
06;54;10, 0.589, -1.138, 9.025, 7.000, 0.00, 76, 250, 1885, 66, 24, 0, 19, 236
06;54;12, 0.235, -0.353, 9.928, 8.000, 0.00, 76, 250, 1863, 65, 24, 0, 21, 242
06;54;15, 0.157, -0.589, 10.713, 7.000, 0.00, 76, 250, 1818, 64, 24, 0, 19, 240
06;54;17, 1.020, -0.275, 10.242, 7.000, 0.00, 75, 250, 1641, 58, 24, 0, 17, 236
06;54;19, 1.020, -1.334, 10.477, 7.000, 0.00, 75, 250, 1395, 51, 24, 0, 14, 240
06;54;21, 1.570, -1.177, 9.221, 7.000, 0.24, 75, 250, 855, 36, 24, 0, 7, 236
06;54;24, 0.549, -0.746, 9.339, 8.000, 0.24, 75, 250, 847, 28, 24, 0, 7, 233
06;54;26, 1.216, -0.903, 10.163, 7.000, 0.22, 74, 250, 883, 16, 24, 0, 7, 230
06;54;28, 0.432, -0.314, 9.418, 7.000, 0.24, 74, 250, 835, 11, 24, 0, 7, 233
06;54;31, 0.314, 0.039, 10.045, 7.000, 0.26, 74, 250, 855, 6, 24, 0, 12, 402
06;54;33, 0.039, 1.256, 10.634, 7.000, 0.58, 74, 250, 1584, 12, 24, 0, 26, 598
