Timestamp [HH;MM;SS], Xacc [m/s^2], Yacc [m/s^2], Zacc [m/s^2], Tvar [C], Engine load [%], Coolant temp [C], Intake pressure [kPa], Engine speed [RPM], Vehicle speed [km/h], Intake air temp [C], Distance with MIL [km], MAF [g/s], Fuel pressure [kPa]
09;36;53, 0.746, -0.471, 10.713, 48.000, 27.0, 57, 250, 834, NA, 46, 43, 8, 238
09;36;56, 1.020, 0.589, 10.948, 51.000, 24.0, 57, 250, 855, 7, 46, 43, 8, 229
09;36;58, 0.824, 0.392, 8.829, 51.000, 23.0, 57, 250, 849, 4, 46, 43, 8, 238
09;37;00, 0.510, 1.020, 8.986, 50.000, 36.0, 57, 250, 952, 7, 46, 43, 10, 300
09;37;02, 0.628, 0.235, 9.575, 50.000, 20.0, 58, 250, 944, 10, 46, 43, 8, 235
09;37;05, 0.275, 0.157, 9.535, 50.000, 23.0, 58, 250, 847, 9, 46, 43, 8, 230
09;37;07, 0.549, 0.824, 8.005, 50.000, 23.0, 58, 250, 849, 8, 46, 43, 8, 229
09;37;09, 0.746, 0.196, 9.064, 50.000, 23.0, 58, 250, 850, 5, 46, 43, 7, 230
09;37;11, 0.746, 1.413, 9.810, 51.000, 29.0, 58, 250, 828, 3, 46, 43, 7, 232
09;37;14, 1.334, 0.196, 9.928, 52.000, 23.0, 58, 250, 857, 4, 46, 43, 8, 230
09;37;16, 0.510, 0.471, 9.732, 51.000, 28.0, 59, 250, 815, 4, 46, 43, 7, 228
09;37;18, 0.549, 0.471, 11.144, 49.000, 22.0, 59, 250, 897, 7, 46, 43, 8, 237
09;37;21, 0.903, 0.746, 9.535, 50.000, 27.0, 59, 250, 821, 7, 46, 43, 8, 232
09;37;23, 1.256, 0.039, 9.496, 49.000, 26.0, 59, 250, 838, 7, 46, 43, 7, 230
09;37;25, 1.177, 0.549, 10.006, 51.000, 25.0, 59, 250, 845, 7, 45, 43, 8, 233
09;37;28, 0.942, 0.589, 10.791, 49.000, 23.0, 59, 250, 857, 7, 45, 43, 7, 228
09;37;30, 1.099, 0.549, 10.085, 52.000, 26.0, 59, 250, 867, 7, 45, 43, 8, 238
09;37;32, -0.118, 0.000, 10.477, 52.000, 25.0, 60, 250, 904, 7, 46, 43, 8, 241
09;37;35, 1.530, 0.157, 11.694, 52.000, 29.0, 60, 250, 820, 7, 45, 43, 8, 237
09;37;37, 1.727, 0.746, 10.124, 51.000, 26.0, 60, 250, 936, 8, 45, 43, 11, 297
09;37;39, 1.766, 0.746, 9.496, 51.000, 38.0, 60, 250, 1419, 11, 45, 43, 17, 532
09;37;42, 3.296, 2.551, 10.320, 51.000, 62.0, 60, 250, 2618, 21, 45, 43, 35, 237
09;37;44, 1.099, 0.942, 9.418, 51.000, 43.0, 60, 250, 1311, 24, 44, 43, 15, 566
09;37;46, 1.295, -0.039, 10.791, 51.000, 81.0, 60, 250, 1187, 29, 44, 43, 15, 650
09;37;49, 1.727, 0.000, 10.909, 52.000, 67.0, 61, 250, 1438, 36, 44, 43, 18, 583
09;37;51, 0.981, 0.510, 10.556, 52.000, 48.0, 61, 250, 1598, 40, 43, 43, 18, 542
09;37;53, 0.078, 1.373, 10.791, 52.000, 46.0, 61, 250, 1699, 43, 43, 43, 21, 372
09;37;56, 0.392, -0.196, 9.928, 51.000, 0.0, 62, 250, 1634, 42, 43, 43, 17, 234
09;37;58, 0.000, 0.157, 10.320, 51.000, 20.0, 62, 250, 1506, 38, 43, 43, 15, 384
09;38;00, 0.039, -1.020, 11.301, 51.000, 0.0, 62, 250, 1454, 37, 42, 43, 15, 236
09;38;03, -0.471, -0.275, 10.438, 51.000, 0.0, 63, 250, 1308, 34, 42, 44, 13, 238
09;38;05, 0.432, 0.314, 9.300, 51.000, 23.0, 63, 250, 939, 30, 42, 44, 8, 236
09;38;07, 0.392, -0.510, 9.967, 52.000, 22.0, 63, 250, 850, 29, 42, 44, 8, 231
09;38;10, 0.667, 0.078, 9.339, 52.000, 22.0, 64, 250, 915, 26, 42, 44, 8, 242
09;38;12, 0.903, -1.099, 9.849, 52.000, 22.0, 64, 250, 904, 19, 42, 44, 8, 234
09;38;14, 0.196, -0.510, 11.105, 52.000, 23.0, 64, 250, 848, 8, 42, 44, 7, 230
09;38;17, 0.314, 0.314, 10.281, 52.000, 22.0, 64, 250, 860, 3, 42, 44, 8, 231
09;38;19, 0.549, 0.275, 9.771, 51.000, 22.0, 64, 250, 852, 1, 42, 44, 7, 230
09;38;21, 0.471, 0.471, 8.711, 52.000, 20.0, 65, 250, 778, 0, 42, 44, 6, 217
09;38;24, 0.432, 0.510, 9.653, 52.000, 20.0, 65, 250, 752, 0, 42, 44, 7, 220
09;38;26, 0.275, 0.353, 9.810, 52.000, 19.0, 65, 250, 753, 0, 42, 44, 7, 219
09;38;28, 0.589, 0.392, 9.339, 52.000, 19.0, 65, 250, 748, 0, 42, 44, 7, 216
09;38;31, 0.471, 0.353, 10.438, 52.000, 19.0, 65, 250, 750, 0, 42, 44, 6, 219
09;38;33, 0.314, 0.314, 9.732, 52.000, 20.0, 65, 250, 746, 0, 43, 44, 6, 221
09;38;35, 0.471, 0.392, 9.535, 52.000, 20.0, 65, 250, 753, 0, 43, 44, 6, 220
09;38;38, 0.353, 0.157, 10.791, 51.000, 20.0, 65, 250, 749, 0, 43, 44, 7, 221
09;38;40, 0.432, 0.392, 9.575, 52.000, 20.0, 65, 250, 750, 0, 43, 44, 6, 220
09;38;42, 0.392, 0.157, 10.556, 52.000, 19.0, 65, 250, 746, 0, 43, 44, 6, 223
09;38;45, 0.314, 0.275, 10.595, 53.000, 20.0, 66, 250, 749, 0, 43, 44, 7, 219
09;38;47, 0.275, 0.235, 10.163, 53.000, 19.0, 66, 250, 749, 0, 43, 44, 6, 218
09;38;49, 0.432, 0.392, 9.849, 53.000, 19.0, 66, 250, 749, 0, 43, 44, 6, 217
09;38;52, 0.471, 0.275, 10.359, 52.000, 19.0, 66, 250, 750, 0, 43, 44, 6, 217
09;38;54, 0.314, 0.235, 10.634, 52.000, 20.0, 66, 250, 754, 0, 43, 44, 6, 220
09;38;56, 0.235, 0.314, 9.888, 52.000, 19.0, 66, 250, 754, 0, 43, 44, 6, 221
09;38;59, 0.392, 0.471, 9.653, 53.000, 35.0, 66, 250, 1142, 0, 43, 44, 15, 441
09;39;01, 0.667, 2.747, 9.182, 52.000, 55.0, 66, 250, 1354, 7, 42, 44, 17, 599
09;39;03, 0.039, 0.549, 10.752, 53.000, 20.0, 66, 250, 1045, 17, 42, 44, 8, 266
09;39;06, -0.196, 1.923, 9.771, 52.000, 59.0, 66, 250, 1201, 19, 42, 44, 14, 435
09;39;08, -1.138, -0.118, 9.418, 52.000, 10.0, 66, 250, 1328, 22, 42, 44, 13, 293
09;39;10, -1.884, -0.863, 9.378, 52.000, 22.0, 66, 250, 1138, 19, 41, 44, 12, 383
09;39;13, -2.472, -0.157, 10.281, 52.000, 39.0, 67, 250, 1341, 21, 41, 44, 15, 529
09;39;15, -0.942, 1.609, 9.339, 53.000, 69.0, 67, 250, 1812, 29, 41, 44, 28, 931
09;39;17, -0.235, 0.510, 8.554, 52.000, 25.0, 67, 250, 904, 35, 41, 44, 16, 435
09;39;20, 1.216, 1.177, 11.576, 53.000, 70.0, 67, 250, 1475, 37, 40, 44, 19, 789
09;39;22, 0.235, 1.530, 8.358, 53.000, 71.0, 67, 250, 1732, 44, 40, 44, 24, 868
09;39;24, 0.510, 0.235, 9.732, 53.000, 17.0, 68, 250, 1021, 48, 40, 44, 11, 326
09;39;27, 0.510, 0.275, 9.261, 54.000, 58.0, 68, 250, 1363, 47, 40, 44, 16, 643
09;39;29, 0.628, 0.275, 10.085, 53.000, 63.0, 68, 250, 1458, 51, 39, 44, 17, 648
09;39;31, 0.353, 0.981, 8.044, 52.000, 60.0, 68, 250, 1541, 54, 39, 44, 18, 664
09;39;34, 1.491, -0.078, 11.419, 52.000, 0.0, 69, 250, 1593, 56, 39, 44, 16, 321
09;39;36, 1.805, 0.196, 10.438, 53.000, 36.0, 69, 250, 1578, 55, 39, 64000, 18, 525
09;39;39, -0.706, 1.766, 9.143, 52.000, 36.0, 69, 250, 1599, 56, 39, 44, 19, 543
09;39;41, 0.235, 0.275, 11.340, 53.000, 33.0, 70, 250, 1624, 57, 39, 44, 18, 545
09;39;43, -0.432, 1.256, 8.437, 53.000, 33.0, 70, 250, 1642, 57, 38, 44, 19, 533
09;39;46, -0.353, 1.138, 8.319, 53.000, 33.0, 70, 250, 1661, 58, 38, 44, 19, 545
09;39;48, -0.157, 0.667, 8.397, 54.000, 32.0, 71, 250, 1674, 59, 38, 44, 19, 254
09;39;50, -0.157, 0.000, 11.105, 53.000, 29.0, 71, 250, 1614, 57, 38, 44, 18, 585
09;39;53, 0.000, 0.628, 9.025, 54.000, 46.0, 72, 250, 1671, 58, 38, 44, 20, 579
09;39;55, 0.628, 1.766, 8.280, 52.000, 29.0, 72, 250, 1696, 59, 38, 44, 19, 518
09;39;57, 1.844, -0.510, 9.457, 54.000, 32.0, 72, 250, 1697, 59, 37, 44, 18, 540
09;40;00, 0.549, 1.099, 10.673, 55.000, 58.0, 73, 250, 1711, 60, 37, 44, 20, 717
09;40;02, 0.589, 0.275, 9.261, 53.000, 11.0, 73, 250, 1744, 62, 37, 44, 19, 243
09;40;04, -0.275, 0.589, 10.320, 54.000, 0.0, 73, 250, 1657, 58, 37, 44, 17, 235
09;40;07, -0.275, 0.000, 9.457, 52.000, 0.0, 73, 250, 1557, 55, 37, 44, 16, 236
09;40;09, 1.020, -0.432, 9.300, 52.000, 0.0, 74, 250, 1443, 51, 37, 44, 14, 240
09;40;12, 0.078, -0.196, 9.300, 54.000, 0.0, 74, 250, 1340, 47, 37, 45, 14, 241
09;40;14, 0.746, 0.000, 9.457, 54.000, 20.0, 74, 250, 1259, 44, 37, 45, 13, 353
09;40;16, 0.510, 0.589, 11.694, 54.000, 21.0, 75, 250, 1228, 43, 37, 45, 12, 349
09;40;19, 0.667, 0.235, 10.673, 53.000, 0.0, 75, 250, 1156, 41, 37, 45, 11, 239
09;40;21, -0.549, -0.118, 9.496, 54.000, 0.0, 75, 250, 899, 38, 37, 45, 14, 231
09;40;24, 0.746, -0.078, 10.438, 53.000, 0.0, 75, 250, 1308, 33, 37, 45, 13, 238
09;40;26, 0.863, -0.667, 10.045, 54.000, 9.0, 75, 250, 1151, 29, 37, 45, 8, 236
09;40;29, 1.334, 0.510, 9.928, 55.000, 23.0, 75, 250, 937, 28, 37, 45, 9, 250
09;40;31, 0.432, -0.903, 10.320, 54.000, 22.0, 75, 250, 907, 23, 37, 45, 8, 245
09;40;34, 1.059, -1.373, 9.849, 54.000, 21.0, 75, 250, 874, 16, 37, 45, 7, 227
09;40;36, 0.078, -0.078, 8.907, 54.000, 23.0, 75, 250, 852, 6, 37, 45, 8, 231
09;40;39, 0.235, 0.078, 9.810, 53.000, 23.0, 75, 250, 850, 2, 37, 45, 7, 236
09;40;41, 0.392, 0.314, 9.300, 52.000, 21.0, 75, 250, 754, 0, 37, 45, 6, 220
09;40;44, 0.432, 0.275, 10.085, 53.000, 20.0, 75, 250, 751, 0, 37, 45, 6, 219
09;40;46, 0.589, 0.471, 9.771, 56.000, 20.0, 75, 250, 751, 0, 37, 45, 6, 219
09;40;48, 0.432, 0.275, 10.202, 55.000, 20.0, 75, 250, 749, 0, 37, 45, 7, 221
09;40;51, 0.432, 0.471, 9.339, 54.000, 20.0, 75, 250, 751, 0, 37, 45, 6, 217
09;40;53, -0.353, 0.824, 9.535, 54.000, 45.0, 75, 250, 2013, 0, 37, 45, 23, 602
09;40;56, -0.314, 2.119, 9.418, 55.000, 59.0, 76, 250, 1906, 15, 37, 45, 26, 256
09;40;58, 0.235, 0.432, 11.497, 56.000, 49.0, 76, 250, 1497, 19, 37, 45, 15, 683
09;41;01, -0.353, 1.491, 9.810, 54.000, 71.0, 76, 250, 1799, 28, 37, 45, 28, 916
09;41;03, 0.157, -0.157, 11.066, 53.000, 23.0, 76, 250, 910, 35, 36, 45, 16, 415
09;41;06, -0.589, 1.452, 9.888, 55.000, 51.0, 76, 250, 1480, 37, 36, 45, 18, 710
09;41;08, 0.078, 0.510, 10.909, 54.000, 70.0, 76, 250, 1736, 43, 36, 45, 25, 457
09;41;10, 0.392, 0.471, 9.339, 55.000, 19.0, 76, 250, 1097, 46, 36, 45, 13, 424
09;41;13, 0.863, 0.392, 10.242, 55.000, 59.0, 76, 250, 1350, 47, 36, 45, 16, 542
09;41;15, 0.785, 0.392, 8.907, 54.000, 54.0, 76, 250, 1434, 50, 36, 45, 16, 558
09;41;18, 1.256, 2.197, 8.594, 55.000, 59.0, 76, 250, 1527, 53, 35, 45, 19, 645
09;41;20, 0.039, 0.314, 7.887, 54.000, 0.0, 76, 250, 1552, 54, 35, 45, 17, 355
09;41;22, 1.373, 0.118, 13.067, 55.000, 45.0, 76, 250, 1528, 53, 35, 45, 18, 560
09;41;25, 0.314, 0.235, 13.028, 53.000, 45.0, 76, 250, 1565, 55, 35, 45, 18, 571
09;41;27, 0.078, 0.157, 10.399, 53.000, 45.0, 75, 250, 1602, 56, 35, 45, 19, 577
09;41;30, 0.078, 0.432, 10.752, 54.000, 44.0, 75, 250, 1631, 57, 35, 45, 20, 577
09;41;32, -0.275, 1.295, 8.005, 54.000, 31.0, 75, 250, 1645, 58, 35, 45, 20, 525
09;41;34, 0.628, 0.903, 8.633, 54.000, 34.0, 74, 250, 1644, 58, 35, 45, 19, 576
09;41;37, 1.373, 0.903, 8.868, 54.000, 43.0, 74, 250, 1665, 58, 35, 45, 21, 638
09;41;39, -0.118, 1.766, 8.790, 53.000, 65.0, 74, 250, 1735, 60, 34, 45, 22, 770
09;41;41, 1.805, 0.353, 8.907, 55.000, 20.0, 74, 250, 866, 62, 34, 45, 15, 368
09;41;44, 0.078, 1.687, 8.986, 54.000, 38.0, 74, 250, 1373, 60, 34, 45, 15, 463
09;41;46, 0.392, -0.471, 9.810, 54.000, 38.0, 74, 250, 1385, 60, 35, 45, 15, 455
09;41;48, -1.099, -0.432, 7.848, 54.000, 37.0, 74, 250, 1391, 61, 34, 45, 15, 459
09;41;51, -0.471, 0.353, 8.005, 55.000, 37.0, 75, 250, 1396, 61, 34, 45, 16, 463
09;41;53, 0.078, 0.235, 10.085, 54.000, 34.0, 75, 250, 1403, 62, 35, 46, 15, 448
09;41;55, 1.609, -0.628, 11.772, 55.000, 34.0, 75, 250, 1388, 61, 34, 46, 16, 458
09;41;58, 0.118, 1.099, 9.535, 54.000, 54.0, 75, 250, 1395, 61, 34, 46, 17, 463
09;42;00, 0.039, 0.785, 10.673, 56.000, 0.0, 75, 250, 1367, 60, 34, 46, 14, 239
09;42;02, 1.373, -0.353, 11.576, 55.000, 34.0, 75, 250, 1306, 57, 34, 46, 13, 433
09;42;05, -0.314, -0.118, 9.261, 54.000, 39.0, 75, 250, 1296, 57, 34, 46, 13, 417
09;42;07, 0.706, -0.235, 9.104, 55.000, 0.0, 75, 250, 1274, 56, 34, 46, 13, 355
09;42;09, 2.119, 0.628, 11.458, 54.000, 36.0, 75, 250, 1258, 55, 34, 46, 14, 411
09;42;12, -1.334, 0.275, 9.221, 55.000, 30.0, 75, 250, 1263, 55, 34, 46, 13, 398
09;42;14, 1.295, 0.275, 10.045, 56.000, 30.0, 75, 250, 1254, 55, 34, 46, 14, 393
09;42;16, 2.158, 1.687, 12.518, 55.000, 69.0, 75, 250, 1263, 55, 34, 46, 15, 581
09;42;19, -0.667, 0.824, 9.261, 54.000, 71.0, 74, 250, 1315, 58, 34, 46, 15, 624
09;42;21, 0.275, -0.235, 10.006, 55.000, 68.0, 74, 250, 1372, 60, 34, 46, 16, 642
09;42;23, -0.785, 1.648, 8.711, 55.000, 44.0, 74, 250, 1427, 62, 34, 46, 16, 473
09;42;26, 0.510, -0.078, 11.733, 55.000, 28.0, 74, 250, 1425, 63, 34, 46, 16, 440
09;42;28, -1.099, 0.039, 8.044, 54.000, 0.0, 74, 250, 1400, 62, 34, 46, 14, 242
09;42;30, -0.392, -0.353, 8.044, 54.000, 0.0, 74, 250, 1335, 59, 34, 46, 13, 237
09;42;33, 1.256, 0.235, 9.928, 55.000, 0.0, 74, 250, 1275, 56, 34, 46, 13, 240
09;42;35, -0.275, 0.432, 9.849, 55.000, 17.0, 74, 250, 1207, 53, 34, 46, 12, 421
09;42;37, -0.353, 0.157, 9.261, 55.000, 78.0, 74, 250, 1232, 54, 34, 46, 14, 605
09;42;40, -0.589, 0.981, 9.732, 54.000, 73.0, 74, 250, 1291, 56, 34, 46, 15, 615
09;42;42, 0.196, 1.413, 9.064, 55.000, 49.0, 74, 250, 1338, 58, 34, 46, 15, 458
09;42;44, 0.746, -0.118, 10.281, 54.000, 38.0, 75, 250, 1342, 59, 34, 46, 15, 446
09;42;47, 0.903, -0.275, 10.359, 55.000, 0.0, 75, 250, 1325, 58, 34, 46, 14, 242
09;42;49, 0.824, 0.353, 9.810, 55.000, 0.0, 75, 250, 1248, 55, 34, 46, 13, 237
09;42;51, 1.020, -0.824, 10.202, 54.000, 0.0, 75, 250, 1180, 52, 34, 46, 12, 239
09;42;54, 0.392, 0.353, 9.849, 54.000, 0.0, 75, 250, 1114, 49, 34, 47, 8, 240
09;42;56, 0.549, -0.706, 9.771, 54.000, 0.0, 75, 250, 895, 42, 34, 47, 11, 232
09;42;58, 1.177, -0.196, 10.202, 55.000, 14.0, 75, 250, 1027, 36, 34, 47, 8, 237
09;43;01, 0.471, -0.549, 9.888, 55.000, 29.0, 75, 250, 1305, 33, 34, 47, 14, 544
09;43;03, -0.039, 2.904, 10.477, 54.000, 63.0, 75, 250, 1483, 37, 34, 47, 18, 613
09;43;06, 0.235, 0.392, 9.300, 55.000, 14.0, 75, 250, 1619, 41, 34, 47, 17, 242
09;43;08, 2.904, 1.962, 11.223, 55.000, 37.0, 75, 250, 1547, 39, 34, 47, 18, 687
09;43;10, -0.314, 0.981, 10.909, 55.000, 68.0, 74, 250, 1776, 44, 34, 47, 25, 852
09;43;13, 0.235, -1.256, 9.182, 55.000, 16.0, 74, 250, 1003, 47, 33, 47, 14, 321
09;43;15, -0.589, 0.824, 10.516, 55.000, 54.0, 74, 250, 1339, 47, 33, 47, 16, 634
09;43;17, 2.001, 0.196, 11.144, 53.000, 65.0, 74, 250, 1454, 50, 33, 47, 19, 668
09;43;20, -0.549, 0.903, 12.007, 55.000, 61.0, 74, 250, 1561, 54, 33, 47, 20, 681
09;43;22, 0.471, -0.275, 11.066, 55.000, 48.0, 74, 250, 1630, 57, 33, 47, 19, 606
09;43;24, 0.667, 0.942, 10.399, 55.000, 45.0, 74, 250, 1667, 58, 33, 47, 20, 591
09;43;27, 0.706, 0.432, 9.064, 54.000, 44.0, 75, 250, 1701, 59, 33, 47, 20, 603
09;43;29, 0.039, 0.471, 9.457, 55.000, 25.0, 75, 250, 1707, 60, 33, 47, 19, 490
09;43;31, 0.275, -0.118, 9.849, 55.000, 0.0, 75, 250, 1650, 59, 33, 47, 17, 239
09;43;34, 0.432, 0.746, 9.025, 54.000, 9.0, 75, 250, 1604, 56, 33, 47, 17, 277
09;43;36, -0.392, 0.746, 8.751, 55.000, 31.0, 75, 250, 1581, 55, 33, 47, 18, 557
09;43;38, -0.275, 0.981, 8.397, 55.000, 42.0, 75, 250, 1624, 57, 33, 47, 20, 567
09;43;41, 1.177, 1.334, 8.790, 54.000, 41.0, 75, 250, 1660, 58, 33, 47, 19, 583
09;43;43, -0.275, 0.314, 9.653, 54.000, 40.0, 75, 250, 1709, 60, 33, 47, 20, 269
09;43;45, 0.235, -0.510, 11.066, 55.000, 0.0, 75, 250, 1609, 57, 33, 47, 16, 237
09;43;48, 0.392, -1.884, 9.849, 55.000, 23.0, 75, 250, 850, 42, 33, 47, 8, 232
09;43;50, 0.235, -1.452, 8.201, 54.000, 23.0, 75, 250, 850, 28, 33, 47, 7, 231
09;43;52, 0.706, -0.824, 9.143, 55.000, 22.0, 75, 250, 870, 16, 33, 47, 8, 230
09;43;55, 1.020, -0.235, 9.064, 55.000, 23.0, 75, 250, 851, 7, 33, 47, 7, 231
09;43;57, 0.471, 0.353, 9.378, 54.000, 21.0, 75, 250, 811, 0, 33, 47, 7, 217
09;43;59, 0.471, 0.275, 10.359, 55.000, 20.0, 75, 250, 750, 0, 33, 47, 6, 219
09;44;02, 0.353, 0.235, 10.320, 56.000, 20.0, 75, 250, 750, 0, 33, 47, 6, 219
09;44;04, 0.549, 0.628, 9.967, 55.000, 20.0, 75, 250, 747, 0, 33, 47, 6, 219
09;44;06, 0.392, 0.353, 10.124, 55.000, 21.0, 75, 250, 750, 0, 33, 47, 6, 221
09;44;09, 0.706, 0.589, 9.653, 54.000, 21.0, 75, 250, 753, 0, 34, 47, 6, 217
09;44;11, 0.628, 0.589, 9.457, 55.000, 21.0, 75, 250, 756, 0, 34, 47, 7, 219
09;44;14, 0.628, 0.314, 10.124, 55.000, 21.0, 75, 250, 751, 0, 34, 47, 6, 222
09;44;16, 0.667, 0.235, 10.359, 55.000, 20.0, 75, 250, 750, 0, 34, 47, 7, 221
09;44;18, 0.628, 0.667, 9.025, 55.000, 20.0, 75, 250, 746, 0, 34, 47, 6, 215
09;44;21, 0.353, 0.314, 9.535, 56.000, 21.0, 75, 250, 752, 0, 34, 47, 6, 217
09;44;23, 0.392, 0.235, 10.359, 55.000, 20.0, 75, 250, 749, 0, 34, 47, 6, 221
09;44;26, 0.589, 0.510, 9.104, 54.000, 20.0, 74, 250, 749, 0, 34, 47, 6, 221
09;44;28, 0.471, 0.510, 9.221, 55.000, 21.0, 74, 250, 748, 0, 34, 47, 6, 220
09;44;31, 0.589, 0.589, 9.496, 54.000, 21.0, 74, 250, 750, 0, 34, 47, 7, 217
09;44;33, 0.667, 0.510, 9.732, 55.000, 21.0, 74, 250, 752, 0, 35, 47, 6, 222
09;44;35, -0.118, 0.667, 10.869, 55.000, 20.0, 74, 250, 747, 0, 35, 47, 6, 220
09;44;38, 0.314, 2.158, 9.339, 54.000, 49.0, 74, 250, 1488, 2, 35, 47, 16, 554
09;44;40, 1.373, 2.472, 10.242, 55.000, 58.0, 74, 250, 2160, 17, 35, 47, 21, 243
