Timestamp [HH;MM;SS], Xacc [m/s^2], Yacc [m/s^2], Zacc [m/s^2], Tvar [C], Engine load [%], Coolant temp [C], Intake pressure [kPa], Engine speed [RPM], Vehicle speed [km/h], Intake air temp [C], Distance with MIL [km], MAF [g/s], Fuel pressure [kPa]
08;03;03, -9.064, -0.157, -0.078, 27.000, 52.0, 20, 250, 845, NA, 22, 28, 11, 273
08;03;05, -9.967, -1.138, 0.706, 27.000, 27.0, 20, 250, 909, 9, 22, 28, 9, 224
08;03;07, -10.045, -1.687, 1.687, 27.000, 29.0, 20, 250, 843, 4, 22, 28, 8, 227
08;03;10, -9.182, -0.392, 1.059, 27.000, 32.0, 20, 250, 786, 0, 22, 28, 7, 222
08;03;12, -9.221, -0.589, 1.295, 27.000, 32.0, 20, 250, 790, 0, 22, 28, 8, 225
08;03;14, -9.261, -0.628, 1.256, 28.000, 32.0, 20, 250, 784, 0, 22, 28, 8, 223
08;03;16, -9.810, -0.981, 0.785, 28.000, 32.0, 21, 250, 765, 0, 22, 28, 8, 216
08;03;19, -9.182, -0.589, 1.020, 27.000, 29.0, 21, 250, 783, 0, 22, 28, 7, 221
08;03;21, -9.064, -0.863, 0.510, 28.000, 29.0, 21, 250, 777, 0, 22, 28, 7, 223
08;03;23, -9.967, -0.863, 1.295, 27.000, 32.0, 21, 250, 768, 0, 22, 28, 7, 227
08;03;25, -9.771, -0.628, 1.099, 27.000, 29.0, 21, 250, 783, 0, 22, 28, 8, 221
08;03;28, -10.359, -0.196, 0.589, 28.000, 45.0, 21, 250, 849, 0, 22, 28, 8, 252
08;03;30, -9.378, -0.510, 0.078, 26.000, 41.0, 22, 250, 991, 10, 22, 64000, 9, 239
08;03;32, -9.339, -1.609, 1.648, 27.000, 28.0, 22, 250, 842, 5, 22, 28, 9, 224
08;03;35, -9.692, -0.903, 1.570, 28.000, 27.0, 22, 250, 854, 2, 22, 28, 8, 221
08;03;37, -8.711, 0.549, 0.549, 28.000, 72.0, 22, 250, 812, 2, 22, 28, 7, 395
08;03;39, -10.202, -0.392, -0.196, 27.000, 24.0, 22, 250, 1469, 12, 22, 28, 15, 248
08;03;42, -9.849, -1.256, 0.235, 26.000, 26.0, 23, 250, 876, 12, 22, 28, 9, 228
08;03;44, -8.947, -0.667, 1.413, 27.000, 27.0, 23, 250, 857, 11, 22, 28, 9, 229
08;03;46, -9.653, -1.491, 1.334, 26.000, 27.0, 23, 250, 841, 11, 22, 28, 8, 221
08;03;49, -11.340, -1.766, 1.609, 27.000, 26.0, 23, 250, 850, 9, 22, 28, 10, 245
08;03;51, -8.751, -0.589, 0.981, 26.000, 43.0, 23, 250, 1449, 12, 22, 28, 19, 330
08;03;53, -8.751, -0.706, 0.746, 28.000, 19.0, 24, 250, 1076, 16, 22, 28, 9, 225
08;03;56, -10.556, 0.314, 1.452, 27.000, 68.0, 24, 250, 1061, 16, 22, 28, 14, 409
08;03;58, -9.771, 0.275, 1.177, 27.000, 41.0, 24, 250, 1397, 22, 22, 28, 17, 288
08;04;00, -9.104, -1.216, 1.334, 26.000, 0.0, 25, 250, 1217, 20, 22, 28, 12, 221
08;04;02, -7.652, 0.785, -0.746, 26.000, 44.0, 25, 250, 1095, 17, 22, 28, 11, 264
08;04;05, -10.045, -0.235, 1.413, 26.000, 20.0, 25, 250, 1132, 19, 22, 28, 13, 250
08;04;07, -8.083, -1.099, 2.472, 27.000, 50.0, 25, 250, 1085, 17, 22, 28, 12, 437
08;04;09, -12.007, 1.805, 3.924, 27.000, 82.0, 26, 250, 1345, 21, 22, 28, 19, 686
08;04;12, -10.202, -0.589, 0.863, 27.000, 46.0, 26, 250, 1606, 26, 22, 28, 19, 269
08;04;14, -8.397, -1.216, 1.295, 25.000, 0.0, 26, 250, 1295, 22, 22, 28, 14, 270
08;04;16, -11.929, 0.863, 1.020, 27.000, 84.0, 26, 250, 1292, 21, 22, 28, 17, 337
08;04;19, -7.652, -0.549, -0.628, 25.000, 6.0, 27, 250, 1218, 21, 22, 28, 12, 280
08;04;21, -11.301, -1.059, 1.138, 27.000, 87.0, 27, 250, 1185, 19, 22, 28, 17, 607
08;04;23, -7.730, -1.530, 1.687, 24.000, 24.0, 28, 250, 850, 22, 22, 28, 8, 228
08;04;26, -9.810, 0.549, 1.373, 26.000, 24.0, 28, 250, 840, 16, 22, 28, 12, 279
08;04;28, -9.300, 1.059, 0.157, 26.000, 73.0, 28, 250, 1070, 16, 22, 28, 13, 350
08;04;30, -7.495, 1.256, 1.844, 25.000, 59.0, 29, 250, 1354, 21, 22, 28, 18, 620
08;04;33, -7.730, 0.628, -1.727, 25.000, 83.0, 29, 250, 1988, 31, 22, 28, 37, 285
08;04;35, -10.006, -1.256, 1.216, 25.000, 23.0, 29, 250, 945, 35, 22, 28, 15, 277
08;04;37, -9.535, 0.746, -0.785, 25.000, 79.0, 30, 250, 1481, 37, 22, 28, 20, 744
08;04;39, -11.497, -0.275, 0.942, 24.000, 84.0, 30, 250, 1768, 44, 22, 28, 24, 264
08;04;42, -9.339, -0.863, 0.432, 25.000, 34.0, 31, 250, 1330, 46, 21, 28, 15, 320
08;04;44, -9.104, -0.549, 2.315, 25.000, 68.0, 31, 250, 1363, 47, 21, 28, 17, 509
08;04;46, -10.477, -1.059, 2.865, 26.000, 25.0, 32, 250, 1454, 51, 21, 28, 16, 221
08;04;49, -8.397, -1.059, 0.078, 24.000, 0.0, 32, 250, 1366, 48, 21, 28, 14, 221
08;04;51, -9.378, -1.491, 0.000, 25.000, 0.0, 33, 250, 1263, 44, 21, 28, 14, 220
08;04;53, -10.045, -0.903, 1.256, 24.000, 23.0, 33, 250, 907, 41, 22, 28, 8, 222
08;04;56, -10.124, -2.040, 0.314, 24.000, 25.0, 34, 250, 893, 36, 22, 28, 9, 233
08;04;58, -7.966, -1.727, 0.157, 25.000, 25.0, 34, 250, 932, 27, 22, 28, 9, 233
08;05;00, -9.849, -1.687, 0.746, 25.000, 25.0, 35, 250, 903, 19, 22, 28, 9, 229
08;05;03, -9.888, -2.158, 0.785, 24.000, 25.0, 35, 250, 843, 9, 22, 28, 7, 221
08;05;05, -9.457, -1.452, 1.099, 24.000, 25.0, 35, 250, 846, 5, 22, 28, 9, 226
08;05;07, -9.025, -0.824, 0.471, 24.000, 24.0, 36, 250, 788, 0, 22, 28, 7, 221
08;05;10, -9.300, -0.706, 0.981, 24.000, 33.0, 36, 250, 753, 0, 22, 28, 16, 337
08;05;12, -9.261, 1.059, -0.196, 24.000, 70.0, 36, 250, 1214, 8, 22, 28, 20, 486
08;05;14, -9.182, -1.059, 0.589, 24.000, 20.0, 36, 250, 935, 18, 22, 28, 12, 272
08;05;17, -8.594, 0.589, 0.196, 24.000, 78.0, 37, 250, 1353, 21, 22, 28, 20, 756
08;05;19, -8.515, 0.039, 0.510, 24.000, 9.0, 37, 250, 1826, 32, 22, 28, 12, 221
08;05;21, -8.594, 0.078, -1.059, 24.000, 76.0, 37, 250, 1267, 32, 22, 29, 16, 625
08;05;24, -9.849, 0.235, -0.432, 24.000, 78.0, 37, 250, 1533, 38, 22, 29, 21, 602
08;05;26, -10.006, -0.275, 0.432, 24.000, 61.0, 38, 250, 1735, 43, 22, 29, 22, 248
08;05;28, -9.064, -0.863, 0.903, 24.000, 0.0, 38, 250, 1058, 44, 22, 29, 13, 222
08;05;31, -9.888, -0.785, 1.923, 24.000, 37.0, 38, 250, 1168, 41, 22, 29, 13, 271
08;05;33, -9.104, -0.549, 1.334, 24.000, 41.0, 39, 250, 1245, 43, 22, 29, 14, 284
08;05;35, -7.573, -0.667, -1.216, 24.000, 36.0, 39, 250, 1301, 45, 22, 29, 15, 265
08;05;38, -8.672, 0.353, 4.983, 24.000, 0.0, 40, 250, 1303, 45, 22, 29, 14, 220
08;05;40, -9.064, -1.099, -0.471, 24.000, 18.0, 40, 250, 1272, 44, 22, 29, 14, 263
08;05;43, -8.319, -0.196, 0.706, 24.000, 30.0, 40, 250, 1314, 46, 22, 29, 15, 274
08;05;45, -11.223, -0.706, 1.923, 24.000, 27.0, 41, 250, 1354, 48, 22, 29, 15, 225
08;05;48, -11.772, -2.747, 1.216, 23.000, 0.0, 41, 250, 1204, 43, 22, 29, 13, 220
08;05;50, -8.829, -1.687, 1.138, 24.000, 54.0, 41, 250, 918, 32, 22, 29, 8, 225
08;05;52, -8.829, -2.394, 1.530, 24.000, 24.0, 42, 250, 861, 21, 22, 29, 9, 227
08;05;55, -9.928, -2.668, 0.432, 23.000, 24.0, 42, 250, 842, 12, 22, 29, 8, 222
08;05;57, -10.006, -1.256, 0.353, 24.000, 23.0, 42, 250, 842, 0, 22, 29, 7, 220
08;06;00, -8.986, -0.667, 0.981, 24.000, 21.0, 42, 250, 749, 0, 22, 29, 7, 219
08;06;02, -9.221, -0.706, 0.824, 22.000, 70.0, 43, 250, 755, 0, 22, 29, 27, 530
08;06;04, -9.771, 0.824, 1.059, 24.000, 50.0, 43, 250, 1724, 14, 22, 29, 29, 289
08;06;07, -9.221, -0.981, 0.903, 24.000, 37.0, 43, 250, 1356, 18, 22, 29, 14, 499
08;06;09, -8.319, -0.942, -0.392, 23.000, 81.0, 43, 250, 1799, 28, 22, 29, 32, 871
08;06;12, -9.457, 1.530, 0.981, 22.000, 87.0, 43, 250, 2726, 43, 22, 29, 55, 1130
08;06;14, -10.399, -0.628, 0.785, 23.000, 0.0, 44, 250, 1793, 53, 21, 29, 10, 222
08;06;16, -9.849, -1.609, 0.392, 23.000, 0.0, 44, 250, 1419, 50, 21, 29, 14, 223
08;06;19, -9.849, -2.472, 1.138, 22.000, 0.0, 44, 250, 1212, 43, 21, 29, 12, 222
08;06;21, -10.006, -1.962, 0.863, 23.000, 10.0, 45, 250, 1047, 37, 22, 29, 9, 225
08;06;23, -9.064, -1.138, 1.020, 23.000, 25.0, 45, 250, 853, 30, 22, 29, 8, 233
08;06;26, -9.418, -1.844, 1.295, 23.000, 23.0, 46, 250, 915, 23, 22, 29, 9, 231
08;06;28, -9.575, -2.237, 0.589, 22.000, 24.0, 46, 250, 828, 12, 22, 29, 7, 228
08;06;30, -7.926, 0.392, 4.944, 24.000, 23.0, 46, 250, 850, 4, 22, 29, 8, 224
08;06;33, 1.059, -0.196, 10.359, 23.000, 19.0, 47, 250, 848, 0, 22, 29, 7, 219
08;06;35, 0.981, 0.314, 9.810, 23.000, 21.0, 47, 250, 750, 0, 22, 29, 7, 219
08;06;37, 1.177, 0.235, 10.045, 22.000, 21.0, 47, 250, 749, 0, 22, 29, 7, 220
08;06;39, 0.746, 0.039, 9.575, 22.000, 21.0, 47, 250, 749, 0, 22, 29, 7, 217
08;06;42, 0.903, 0.118, 10.477, 22.000, 21.0, 47, 250, 745, 0, 22, 29, 6, 220
08;06;44, 0.824, 0.275, 9.221, 22.000, 21.0, 47, 250, 751, 0, 22, 29, 7, 220
08;06;46, 0.981, 0.235, 10.124, 22.000, 21.0, 48, 250, 751, 0, 22, 29, 7, 219
08;06;49, 0.785, 0.078, 9.378, 23.000, 20.0, 48, 250, 750, 0, 22, 29, 6, 220
08;06;51, 0.746, 0.118, 9.849, 22.000, 21.0, 48, 250, 751, 0, 22, 29, 7, 219
08;06;53, 1.059, 0.392, 10.006, 21.000, 21.0, 48, 250, 750, 0, 22, 29, 8, 219
08;06;56, 0.824, 0.314, 9.496, 22.000, 21.0, 48, 250, 752, 0, 22, 29, 7, 218
08;06;58, 0.863, 0.078, 10.320, 22.000, 21.0, 48, 250, 751, 0, 22, 29, 7, 219
08;07;00, 0.824, 0.039, 9.339, 22.000, 21.0, 48, 250, 750, 0, 22, 29, 6, 219
08;07;03, 0.471, 2.943, 9.378, 22.000, 53.0, 48, 250, 1626, 4, 22, 29, 16, 501
08;07;05, 1.256, 0.275, 9.300, 21.000, 0.0, 48, 250, 1474, 18, 22, 29, 9, 231
08;07;07, 1.256, 2.237, 10.242, 20.000, 80.0, 49, 250, 1297, 20, 22, 29, 19, 718
08;07;10, 0.432, 0.353, 10.242, 21.000, 5.0, 49, 250, 1755, 31, 22, 29, 12, 235
08;07;12, 0.235, 1.844, 10.045, 21.000, 78.0, 49, 250, 1282, 32, 22, 29, 17, 719
08;07;14, -0.118, -0.118, 11.183, 21.000, 80.0, 49, 250, 1573, 39, 22, 29, 22, 779
08;07;17, 1.373, -0.275, 10.516, 20.000, 1.0, 49, 250, 1696, 46, 22, 29, 10, 228
08;07;19, -0.471, 1.059, 8.751, 21.000, 78.0, 49, 250, 1345, 46, 22, 29, 17, 626
08;07;21, 1.334, 0.157, 10.634, 22.000, 33.0, 50, 250, 1458, 51, 22, 29, 17, 231
08;07;24, 1.099, 0.667, 9.732, 20.000, 44.0, 50, 250, 1438, 50, 22, 29, 18, 398
08;07;26, 1.766, -0.157, 10.869, 21.000, 33.0, 50, 250, 1455, 51, 22, 29, 16, 227
08;07;28, 0.667, -0.628, 9.496, 20.000, 0.0, 51, 250, 1331, 48, 22, 29, 13, 228
08;07;31, 0.824, -0.824, 8.907, 21.000, 23.0, 51, 250, 847, 35, 22, 29, 8, 224
08;07;33, 0.314, -2.629, 9.221, 21.000, 23.0, 52, 250, 862, 17, 22, 29, 8, 228
08;07;35, 0.942, -0.392, 10.438, 21.000, 24.0, 52, 250, 835, 6, 22, 29, 8, 221
08;07;37, 0.667, 0.549, 10.202, 20.000, 29.0, 52, 250, 818, 0, 22, 29, 7, 221
08;07;40, 0.667, 0.196, 9.614, 21.000, 32.0, 52, 250, 747, 0, 22, 29, 7, 223
08;07;42, 0.863, 0.157, 9.849, 20.000, 31.0, 53, 250, 749, 0, 22, 29, 7, 222
08;07;44, 0.589, 0.196, 10.556, 20.000, 30.0, 53, 250, 754, 0, 22, 29, 6, 225
08;07;47, 0.942, 0.549, 9.418, 20.000, 32.0, 53, 250, 752, 0, 22, 29, 7, 225
08;07;49, 0.785, 0.275, 10.399, 20.000, 32.0, 53, 250, 747, 0, 22, 29, 6, 221
08;07;51, 1.413, 0.903, 10.124, 20.000, 55.0, 53, 250, 1401, 0, 22, 29, 19, 494
08;07;54, 1.099, 2.276, 10.163, 20.000, 62.0, 53, 250, 1828, 14, 22, 29, 30, 280
08;07;56, 1.884, -0.353, 9.104, 21.000, 34.0, 53, 250, 1027, 19, 22, 29, 13, 421
08;07;58, 0.353, 1.962, 8.162, 20.000, 73.0, 54, 250, 1618, 25, 22, 29, 26, 832
08;08;01, 0.235, -0.157, 11.968, 21.000, 35.0, 54, 250, 887, 33, 22, 29, 12, 328
08;08;03, 1.138, 0.471, 10.320, 20.000, 80.0, 54, 250, 1382, 35, 22, 30, 19, 736
08;08;05, 0.392, 2.080, 8.829, 21.000, 76.0, 54, 250, 1674, 42, 22, 30, 24, 800
08;08;08, -0.785, 0.392, 9.261, 20.000, 31.0, 54, 250, 875, 46, 22, 30, 14, 382
08;08;10, 0.981, -0.196, 9.810, 20.000, 71.0, 54, 250, 1348, 46, 22, 30, 17, 592
08;08;12, 0.942, 0.235, 10.163, 20.000, 65.0, 55, 250, 1439, 50, 22, 30, 18, 583
08;08;15, 0.039, -0.746, 9.967, 20.000, 0.0, 55, 250, 1426, 50, 22, 30, 15, 231
08;08;17, 0.118, 0.392, 10.045, 20.000, 0.0, 55, 250, 1330, 47, 22, 30, 14, 231
08;08;19, 0.942, 0.667, 9.928, 20.000, 29.0, 56, 250, 1272, 44, 22, 30, 13, 350
08;08;21, 0.432, 1.059, 9.300, 20.000, 30.0, 56, 250, 1229, 43, 22, 30, 14, 337
08;08;24, -0.157, -0.510, 10.830, 20.000, 0.0, 57, 250, 1169, 41, 22, 30, 11, 232
08;08;26, 0.392, 0.196, 9.928, 23.000, 0.0, 57, 250, 1078, 38, 22, 30, 11, 230
08;08;28, 0.078, -0.549, 9.653, 20.000, 37.0, 57, 250, 878, 35, 22, 30, 8, 245
08;08;31, 0.392, -1.099, 9.732, 20.000, 29.0, 57, 250, 855, 25, 22, 30, 8, 238
08;08;33, 0.746, -2.354, 10.359, 20.000, 29.0, 58, 250, 843, 7, 22, 30, 8, 234
08;08;35, 0.078, 2.040, 9.535, 20.000, 71.0, 58, 250, 1060, 8, 22, 30, 19, 656
08;08;38, 0.981, 2.904, 9.182, 20.000, 100.0, 58, 250, 3289, 26, 22, 30, 46, 180
08;08;40, 1.295, -0.392, 11.223, 19.000, 26.0, 58, 250, 1173, 33, 22, 30, 15, 514
08;08;42, 1.727, 1.413, 10.163, 20.000, 76.0, 58, 250, 1518, 38, 22, 30, 20, 777
08;08;45, 0.118, 1.020, 10.085, 20.000, 54.0, 58, 250, 1808, 45, 22, 30, 13, 242
08;08;47, 1.099, 0.196, 10.752, 20.000, 77.0, 59, 250, 1321, 46, 22, 30, 16, 707
08;08;49, 0.157, -0.392, 9.575, 20.000, 0.0, 59, 250, 1403, 50, 22, 30, 15, 233
08;08;52, -1.570, 0.432, 9.692, 20.000, 53.0, 59, 250, 1361, 47, 22, 30, 16, 634
08;08;54, 0.392, 0.157, 10.516, 19.000, 76.0, 59, 250, 1450, 50, 22, 30, 19, 729
08;08;56, 0.039, 0.235, 8.986, 19.000, 0.0, 60, 250, 1518, 54, 22, 30, 16, 233
08;08;59, 0.863, 0.000, 9.810, 20.000, 0.0, 60, 250, 1424, 50, 22, 30, 15, 233
08;09;01, -0.471, -0.039, 9.457, 20.000, 0.0, 60, 250, 1264, 44, 22, 30, 13, 233
08;09;03, 0.471, 0.235, 8.986, 19.000, 0.0, 61, 250, 1108, 39, 22, 30, 11, 232
08;09;06, 0.314, -1.452, 9.928, 20.000, 25.0, 61, 250, 876, 33, 22, 30, 8, 239
08;09;08, 0.275, -2.433, 10.673, 20.000, 25.0, 61, 250, 850, 19, 22, 30, 8, 233
08;09;10, -2.433, 0.667, 10.634, 19.000, 57.0, 62, 250, 1719, 13, 22, 30, 29, 585
08;09;13, -0.275, 0.196, 9.339, 19.000, 32.0, 62, 250, 1104, 18, 22, 30, 13, 443
08;09;15, 0.824, 2.315, 9.418, 19.000, 71.0, 62, 250, 1652, 26, 22, 30, 26, 882
08;09;17, 0.981, 0.432, 10.556, 20.000, 25.0, 62, 250, 1103, 35, 22, 30, 8, 258
08;09;19, 0.039, 0.706, 9.771, 19.000, 53.0, 62, 250, 1389, 35, 22, 30, 17, 366
08;09;22, 2.197, -0.824, 10.320, 20.000, 0.0, 62, 250, 1339, 35, 22, 30, 14, 237
08;09;24, 3.296, -0.549, 9.378, 19.000, 30.0, 62, 250, 1133, 29, 22, 30, 13, 346
08;09;26, 1.099, 0.863, 10.438, 19.000, 45.0, 63, 250, 1235, 31, 22, 30, 14, 455
08;09;29, 1.216, 0.157, 9.928, 18.000, 26.0, 63, 250, 1364, 35, 22, 30, 15, 396
08;09;31, -1.256, 0.824, 9.575, 18.000, 57.0, 63, 250, 1450, 36, 22, 30, 19, 694
